Iteration,Confidence Score,x_min,y_min,x_max,y_max,Label
770,0.48797837,246,347,599,546,car
771,0.50506574,259,351,627,553,car
772,0.49108985,272,355,655,560,car
773,0.49966618,285,349,687,568,car
774,0.47791964,301,351,719,576,car
775,0.47317034,316,356,755,586,car
776,0.4827949,334,356,791,595,car
777,0.49658206,351,360,831,608,car
778,0.50382984,370,361,870,619,car
779,0.47950366,392,362,913,631,car
780,0.491639,415,362,957,644,car
781,0.49108985,438,370,1003,655,car
782,0.47341377,463,372,1051,669,car
783,0.46441576,492,370,1100,683,car
784,0.47682324,522,381,1150,696,car
785,0.47682324,555,384,1205,712,car
786,0.47791964,588,387,1253,728,car
787,0.45907614,623,390,1305,743,car
788,0.47061494,662,393,1354,759,car
789,0.48755136,706,401,1415,772,car
790,0.45689437,750,405,1431,789,car
791,0.4508429,796,412,1430,803,car
792,0.3,847,422,1430,792,car
793,0.4622303,898,432,1431,782,car
794,0.3,838,422,1345,758,car
795,0.3,779,412,1259,735,car
796,0.3,719,402,1174,712,car
797,0.3,660,392,1088,689,car
798,0.3,600,382,1003,666,car
799,0.3,541,372,917,643,car
800,0.3,481,362,831,620,car
801,0.3,422,353,746,596,car
802,0.3,362,343,660,573,car
803,0.3,303,333,575,550,car
804,0.3,243,323,489,527,car
805,0.3,184,313,403,504,car
806,0.3,124,303,318,481,car
807,0.3,65,293,232,458,car
808,0.46344426,6,284,147,435,truck
809,0.3,6,284,152,435,truck
810,0.3,6,284,157,436,truck
811,0.3,6,284,162,437,truck
812,0.3,6,284,167,438,truck
813,0.3,6,284,172,439,truck
814,0.46879062,7,285,177,440,truck
815,0.3,7,285,182,442,truck
816,0.46465865,7,286,188,444,truck
817,0.3,7,282,194,445,truck
818,0.46915543,7,279,201,446,truck
819,0.3,7,279,208,447,truck
820,0.47256175,8,279,215,448,truck
821,0.3,8,276,221,448,truck
822,0.4632014,8,273,228,448,truck
823,0.4559252,7,272,234,450,truck
824,0.3,7,270,242,452,truck
825,0.3,7,269,250,454,truck
826,0.4775542,8,268,258,456,truck
827,0.3,7,244,266,458,truck
828,0.47122326,7,220,274,460,truck
829,0.3,7,218,286,462,truck
830,0.50006676,7,217,298,464,truck
831,0.5218367,7,213,307,466,truck
832,0.5113506,7,211,317,468,truck
833,0.4882224,13,257,326,470,truck
834,0.47244006,8,205,340,473,truck
835,0.51409537,9,201,353,476,truck
836,0.4947817,10,197,366,478,truck
837,0.49246272,10,194,384,489,truck
838,0.50674397,11,192,394,491,truck
839,0.51903373,13,189,408,492,truck
840,0.5242729,15,183,422,494,truck
841,0.55012405,16,183,441,498,truck
842,0.50659144,16,180,461,500,truck
843,0.5229331,16,179,479,506,truck
844,0.5418937,22,179,498,510,truck
845,0.51952136,29,176,519,513,truck
846,0.5203745,29,174,541,522,truck
847,0.5520568,32,173,563,524,truck
848,0.5264645,35,166,587,533,truck
849,0.4827949,40,166,611,540,truck
850,0.4895035,47,154,641,546,truck
851,0.5044249,52,149,670,556,truck
852,0.49900052,58,144,699,566,truck
853,0.4807224,62,141,733,573,truck
854,0.5070796,69,136,766,583,truck
855,0.49502578,74,132,801,591,truck
856,0.49588025,77,129,838,599,truck
857,0.48133188,89,121,878,607,truck
858,0.47670147,91,118,918,620,truck
859,0.4726835,92,115,961,634,truck
860,0.46830428,94,111,1005,645,truck
861,0.4549564,113,107,1050,657,truck
862,0.4627158,120,94,1095,674,truck
863,0.3,129,89,1142,689,truck
864,0.3,138,85,1190,704,truck
865,0.3,147,80,1238,719,truck
866,0.3,156,76,1285,735,truck
867,0.3,165,71,1333,750,truck
868,0.3,174,67,1381,765,truck
869,0.45326185,183,63,1429,781,truck
870,0.3,181,65,1415,778,truck
871,0.3,179,67,1401,775,truck
872,0.3,177,69,1387,772,truck
873,0.3,175,71,1373,770,truck
874,0.3,173,73,1359,767,truck
875,0.3,171,75,1345,764,truck
876,0.3,169,77,1331,761,truck
877,0.3,167,80,1317,759,truck
878,0.3,165,82,1303,756,truck
879,0.3,163,84,1289,753,truck
880,0.3,161,86,1275,750,truck
881,0.3,159,88,1261,748,truck
882,0.3,157,90,1247,745,truck
883,0.3,155,92,1233,742,truck
884,0.3,153,94,1219,739,truck
885,0.3,151,97,1206,737,truck
886,0.3,149,99,1192,734,truck
887,0.3,147,101,1178,731,truck
888,0.3,146,103,1164,728,truck
889,0.3,144,105,1150,726,truck
890,0.3,142,107,1136,723,truck
891,0.3,140,109,1122,720,truck
892,0.3,138,112,1108,717,truck
893,0.3,136,114,1094,715,truck
894,0.3,134,116,1080,712,truck
895,0.3,132,118,1066,709,truck
896,0.3,130,120,1052,706,truck
897,0.3,128,122,1038,704,truck
898,0.3,126,124,1024,701,truck
899,0.3,124,126,1010,698,truck
900,0.3,122,129,997,695,truck
901,0.3,120,131,983,693,truck
902,0.3,118,133,969,690,truck
903,0.3,116,135,955,687,truck
904,0.3,114,137,941,684,truck
905,0.3,112,139,927,682,truck
906,0.3,111,141,913,679,truck
907,0.3,109,143,899,676,truck
908,0.3,107,146,885,673,truck
909,0.3,105,148,871,671,truck
910,0.3,103,150,857,668,truck
911,0.3,101,152,843,665,truck
912,0.3,99,154,829,662,truck
913,0.3,97,156,815,660,truck
914,0.3,95,158,801,657,truck
915,0.3,93,161,788,654,truck
916,0.3,91,163,774,651,truck
917,0.3,89,165,760,649,truck
918,0.3,87,167,746,646,truck
919,0.3,85,169,732,643,truck
920,0.3,83,171,718,640,truck
921,0.3,81,173,704,638,truck
922,0.3,79,175,690,635,truck
923,0.3,77,178,676,632,truck
924,0.3,75,180,662,629,truck
925,0.3,74,182,648,627,truck
926,0.3,72,184,634,624,truck
927,0.3,70,186,620,621,truck
928,0.3,68,188,606,618,truck
929,0.3,66,190,592,616,truck
930,0.3,64,192,578,613,truck
931,0.3,62,195,565,610,truck
932,0.3,60,197,551,607,truck
933,0.3,58,199,537,605,truck
934,0.3,56,201,523,602,truck
935,0.3,54,203,509,599,truck
936,0.3,52,205,495,596,truck
937,0.3,50,207,481,594,truck
938,0.3,48,210,467,591,truck
939,0.3,46,212,453,588,truck
940,0.3,44,214,439,585,truck
941,0.3,42,216,425,583,truck
942,0.3,40,218,411,580,truck
943,0.3,39,220,397,577,truck
944,0.3,37,222,383,574,truck
945,0.3,35,224,369,572,truck
946,0.3,33,227,356,569,truck
947,0.3,31,229,342,566,truck
948,0.3,29,231,328,563,truck
949,0.3,27,233,314,561,truck
950,0.3,25,235,300,558,truck
951,0.3,23,237,286,555,truck
952,0.3,21,239,272,552,truck
953,0.3,19,241,258,550,truck
954,0.3,17,244,244,547,truck
955,0.3,15,246,230,544,truck
956,0.3,13,248,216,541,truck
957,0.3,11,250,202,539,truck
958,0.3,9,252,188,536,truck
959,0.3,7,254,174,533,truck
960,0.3,5,256,160,530,truck
961,0.45374593,4,259,147,528,car
962,0.3,3,257,156,534,car
963,0.3,3,255,165,541,car
964,0.452294,3,253,175,548,car
965,0.3,3,249,198,558,car
966,0.3,3,245,222,569,car
967,0.3,3,241,245,580,car
968,0.3,3,237,269,591,car
969,0.3,3,233,293,601,car
970,0.3,3,229,316,612,car
971,0.3,3,225,340,623,car
972,0.3,3,221,363,634,car
973,0.3,4,218,387,644,car
974,0.3,4,214,411,655,car
975,0.3,4,210,434,666,car
976,0.3,4,206,458,677,car
977,0.3,4,202,481,687,car
978,0.3,4,198,505,698,car
979,0.3,4,194,529,709,car
980,0.3,4,190,552,720,car
981,0.3,5,187,576,730,car
982,0.3,5,183,599,741,car
983,0.3,5,179,623,752,car
984,0.3,5,175,647,763,car
985,0.3,5,171,670,773,car
986,0.3,5,167,694,784,car
987,0.3,5,163,717,795,car
988,0.3,5,159,741,806,car
989,0.47244006,6,156,765,817,bus
990,0.49301195,7,149,817,840,bus
991,0.5089712,9,146,870,865,bus
992,0.3,9,135,932,890,bus
993,0.3,9,124,995,915,bus
994,0.3,9,114,1057,940,bus
995,0.3,9,103,1120,965,bus
996,0.3,9,92,1182,990,bus
997,0.5073847,10,82,1245,1016,bus
998,0.3,9,76,1306,1017,bus
999,0.3,9,70,1367,1018,bus
1000,0.47365725,9,64,1428,1019,bus
1001,0.3,9,63,1429,1018,bus
1002,0.3,9,63,1430,1018,bus
1003,0.47877252,10,63,1431,1018,bus
1004,0.3,10,63,1430,1017,bus
1005,0.3,10,63,1430,1017,bus
1006,0.3,10,64,1430,1017,bus
1007,0.3,10,64,1430,1017,bus
1008,0.3,10,64,1430,1017,bus
1009,0.3,10,65,1430,1017,bus
1010,0.3,10,65,1430,1017,bus
1011,0.3,10,65,1430,1017,bus
1012,0.3,10,66,1430,1016,bus
1013,0.3,10,66,1430,1016,bus
1014,0.3,10,66,1430,1016,bus
1015,0.3,10,67,1430,1016,bus
