frame,labels,scores,boxes
721,"['car', 'car', 'truck', 'car', 'truck']","[0.9777997136116028, 0.847082257270813, 0.7867288589477539, 0.8538790345191956, 0.961228609085083]","[[10, 350, 102, 423], [7, 336, 52, 376], [200, 338, 501, 500], [200, 338, 500, 500], [158, 212, 472, 384]]"
722,"['car', 'truck', 'truck']","[0.9700099229812622, 0.881523847579956, 0.9603459239006042]","[[10, 347, 106, 423], [210, 338, 518, 505], [161, 211, 492, 387]]"
723,"['car', 'truck', 'car', 'truck']","[0.9640058875083923, 0.8031136989593506, 0.8458945751190186, 0.963980495929718]","[[10, 341, 111, 424], [220, 338, 538, 510], [220, 339, 538, 510], [175, 208, 517, 391]]"
724,"['truck', 'car', 'car']","[0.9661564230918884, 0.9700592756271362, 0.9779648780822754]","[[181, 196, 546, 394], [10, 347, 113, 424], [230, 340, 563, 517]]"
725,"['truck', 'car', 'car', 'car']","[0.9695754647254944, 0.974127471446991, 0.8866749405860901, 0.9800800085067749]","[[191, 190, 572, 395], [16, 350, 117, 426], [10, 336, 65, 394], [243, 339, 584, 521]]"
726,"['truck', 'car', 'car', 'car']","[0.9743235111236572, 0.9726870059967041, 0.8934742212295532, 0.9819839596748352]","[[202, 185, 599, 395], [15, 351, 124, 426], [10, 335, 73, 386], [256, 339, 605, 527]]"
727,"['truck', 'car', 'car', 'car']","[0.9739509224891663, 0.9783299565315247, 0.9426065683364868, 0.9822185039520264]","[[213, 181, 626, 402], [16, 351, 133, 429], [10, 334, 73, 384], [269, 339, 633, 533]]"
728,"['truck', 'car', 'car', 'car']","[0.969351589679718, 0.9768233299255371, 0.9238397479057312, 0.9824806451797485]","[[224, 181, 655, 405], [16, 351, 134, 430], [10, 332, 77, 404], [280, 339, 663, 542]]"
729,"['truck', 'car', 'car', 'car']","[0.9495431780815125, 0.9545312523841858, 0.7800133228302002, 0.9813255071640015]","[[236, 178, 683, 405], [11, 345, 139, 431], [9, 332, 84, 403], [295, 338, 695, 550]]"
730,"['truck', 'car', 'car', 'car']","[0.9100011587142944, 0.9709722995758057, 0.9150933027267456, 0.9819779396057129]","[[248, 175, 669, 371], [15, 351, 141, 431], [9, 332, 88, 410], [310, 343, 726, 558]]"
731,"['truck', 'car', 'car']","[0.9386904239654541, 0.957011878490448, 0.9808416962623596]","[[260, 173, 748, 417], [12, 352, 145, 432], [327, 343, 761, 565]]"
732,"['truck', 'car', 'car']","[0.9587591290473938, 0.9678053259849548, 0.9802302122116089]","[[262, 164, 775, 426], [11, 351, 151, 433], [342, 339, 798, 573]]"
733,"['truck', 'car', 'car']","[0.9469560980796814, 0.9650710225105286, 0.9802478551864624]","[[287, 159, 814, 430], [13, 352, 157, 434], [360, 342, 861, 583]]"
734,"['truck', 'car', 'car', 'car']","[0.9448516368865967, 0.9706767201423645, 0.8579348921775818, 0.9809620976448059]","[[298, 158, 854, 435], [16, 352, 162, 435], [10, 332, 103, 413], [378, 344, 872, 596]]"
735,"['truck', 'car', 'car', 'car']","[0.9559118747711182, 0.9733544588088989, 0.9081295132637024, 0.9806723594665527]","[[317, 154, 899, 445], [17, 353, 165, 437], [11, 332, 105, 398], [398, 342, 916, 607]]"
736,"['truck', 'car', 'car', 'car']","[0.9479761123657227, 0.9739885926246643, 0.9014818072319031, 0.9804883599281311]","[[335, 147, 948, 453], [17, 353, 169, 438], [12, 332, 109, 397], [421, 347, 960, 616]]"
737,"['truck', 'car', 'car', 'car']","[0.9454888105392456, 0.9753376245498657, 0.8901538252830505, 0.9813170433044434]","[[351, 148, 995, 453], [42, 352, 177, 440], [10, 331, 118, 416], [446, 345, 1006, 626]]"
738,"['truck', 'car', 'car', 'car']","[0.9548549652099609, 0.9768059849739075, 0.8937997817993164, 0.9820341467857361]","[[372, 145, 1034, 462], [50, 354, 186, 441], [11, 330, 124, 405], [470, 346, 1053, 638]]"
739,"['truck', 'car', 'car', 'car']","[0.9564991593360901, 0.9755148887634277, 0.8961563110351562, 0.9818399548530579]","[[392, 145, 1073, 468], [53, 354, 190, 442], [11, 330, 128, 408], [498, 346, 1101, 654]]"
740,"['truck', 'car', 'car', 'car']","[0.9365334510803223, 0.9754703640937805, 0.9092265963554382, 0.9804168343544006]","[[413, 140, 1130, 473], [56, 354, 196, 445], [13, 330, 134, 377], [527, 348, 1151, 670]]"
741,"['truck', 'car', 'car', 'car']","[0.9530017971992493, 0.9731740951538086, 0.8971145153045654, 0.9818592071533203]","[[437, 136, 1202, 484], [60, 354, 198, 446], [15, 329, 134, 375], [558, 351, 1205, 684]]"
742,"['truck', 'car', 'car', 'car']","[0.9590626955032349, 0.9705014824867249, 0.8167323470115662, 0.9792700409889221]","[[464, 134, 1196, 485], [61, 352, 220, 447], [16, 330, 148, 377], [591, 356, 1253, 697]]"
743,"['truck', 'car', 'car', 'car']","[0.9554086923599243, 0.9724140763282776, 0.8328458666801453, 0.9802730083465576]","[[493, 133, 1277, 499], [64, 352, 233, 450], [14, 330, 144, 377], [624, 359, 1308, 711]]"
744,"['truck', 'car', 'car', 'car']","[0.9527297616004944, 0.9742419123649597, 0.9815059900283813, 0.8340269327163696]","[[523, 131, 1313, 509], [70, 351, 233, 451], [663, 365, 1360, 727], [67, 329, 139, 355]]"
745,"['truck', 'car', 'car']","[0.956657886505127, 0.9756793975830078, 0.9757286906242371]","[[554, 130, 1370, 494], [74, 349, 230, 453], [704, 369, 1409, 745]]"
746,"['truck', 'car', 'car', 'car']","[0.9291619658470154, 0.976567804813385, 0.8982222080230713, 0.9748713374137878]","[[583, 130, 1426, 517], [77, 350, 235, 455], [77, 330, 163, 379], [746, 374, 1429, 756]]"
747,"['truck', 'car', 'car', 'car', 'car']","[0.9536664485931396, 0.9784371852874756, 0.838005006313324, 0.8985323905944824, 0.975970983505249]","[[624, 130, 1429, 519], [80, 352, 242, 458], [78, 325, 149, 364], [78, 326, 170, 387], [790, 377, 1429, 774]]"
748,"['truck', 'car', 'car', 'car']","[0.9444555640220642, 0.9782885313034058, 0.9380393624305725, 0.9731229543685913]","[[659, 131, 1378, 459], [83, 351, 254, 460], [81, 325, 176, 385], [841, 380, 1431, 781]]"
749,"['truck', 'car', 'car', 'car']","[0.9497326612472534, 0.974212110042572, 0.9004465937614441, 0.9785488247871399]","[[700, 131, 1419, 468], [88, 351, 261, 462], [87, 325, 180, 388], [891, 382, 1431, 751]]"
750,"['truck', 'car', 'car', 'car']","[0.9026742577552795, 0.9782068729400635, 0.9399158954620361, 0.9804810881614685]","[[748, 131, 1421, 457], [95, 351, 274, 463], [88, 325, 184, 382], [948, 388, 1429, 752]]"
751,"['truck', 'car', 'car', 'car']","[0.9620746970176697, 0.9774343371391296, 0.9097979068756104, 0.9771752953529358]","[[798, 128, 1424, 426], [101, 350, 281, 467], [91, 325, 193, 383], [1005, 399, 1430, 752]]"
752,"['truck', 'car', 'car', 'car']","[0.9711716771125793, 0.979570746421814, 0.9290487766265869, 0.9739953875541687]","[[843, 126, 1423, 437], [105, 352, 289, 468], [100, 325, 200, 385], [1064, 410, 1432, 751]]"
753,"['truck', 'car', 'car', 'car', 'car']","[0.9738277792930603, 0.979275643825531, 0.7758224606513977, 0.9289792776107788, 0.9607200622558594]","[[897, 126, 1429, 449], [110, 352, 297, 470], [306, 238, 412, 316], [103, 324, 210, 385], [1119, 417, 1431, 750]]"
754,"['truck', 'car', 'car', 'truck', 'car', 'truck']","[0.887153148651123, 0.9797194600105286, 0.9456242322921753, 0.8689751625061035, 0.7884340286254883, 0.8412072658538818]","[[951, 125, 1433, 752], [116, 355, 309, 473], [108, 320, 222, 391], [1181, 424, 1430, 751], [107, 319, 192, 365], [950, 126, 1430, 456]]"
755,"['truck', 'car', 'car']","[0.9507527947425842, 0.9794661998748779, 0.9343277812004089]","[[1012, 124, 1432, 766], [120, 355, 321, 476], [117, 320, 226, 388]]"
756,"['truck', 'car', 'car', 'car']","[0.876478910446167, 0.9775821566581726, 0.9200121760368347, 0.7896457314491272]","[[1073, 126, 1433, 777], [125, 350, 335, 478], [120, 320, 235, 390], [1304, 450, 1433, 781]]"
757,"['car', 'car']","[0.9775189757347107, 0.9247404336929321]","[[134, 349, 348, 482], [131, 319, 245, 387]]"
758,"['truck', 'car', 'car']","[0.8198797702789307, 0.9787607192993164, 0.9410345554351807]","[[1198, 134, 1433, 496], [141, 351, 358, 484], [135, 319, 247, 385]]"
759,"['truck', 'car', 'car']","[0.9472352862358093, 0.9804959893226624, 0.9579706192016602]","[[1261, 143, 1432, 496], [147, 352, 374, 487], [140, 318, 261, 388]]"
760,"['truck', 'car', 'car']","[0.9639015197753906, 0.9807253479957581, 0.9568958878517151]","[[1331, 151, 1431, 506], [153, 352, 388, 492], [146, 317, 272, 387]]"
761,"['car', 'car']","[0.9812996983528137, 0.9611564874649048]","[[162, 352, 403, 495], [146, 317, 286, 385]]"
762,"['car', 'car', 'car']","[0.9801865220069885, 0.956817626953125, 0.8533943891525269]","[[169, 354, 423, 499], [160, 318, 300, 386], [7, 368, 27, 392]]"
763,"['car', 'car', 'car']","[0.9786217212677002, 0.9551836252212524, 0.8750248551368713]","[[177, 352, 441, 503], [166, 316, 313, 387], [7, 367, 26, 394]]"
764,"['car', 'car', 'car']","[0.9533755779266357, 0.9068456292152405, 0.9820601940155029]","[[178, 314, 330, 387], [7, 367, 27, 393], [187, 354, 457, 507]]"
765,"['car', 'car', 'car']","[0.9803186058998108, 0.9597497582435608, 0.9232130646705627]","[[195, 352, 478, 512], [187, 315, 343, 386], [7, 365, 29, 394]]"
766,"['car', 'car', 'car']","[0.9640290141105652, 0.8871595859527588, 0.9812337756156921]","[[197, 315, 354, 387], [7, 364, 29, 397], [204, 351, 498, 517]]"
767,"['car', 'car', 'car']","[0.9620429277420044, 0.8586201071739197, 0.9804418683052063]","[[206, 313, 373, 388], [7, 364, 38, 398], [215, 353, 520, 523]]"
768,"['car', 'car', 'car']","[0.9659692645072937, 0.8860592246055603, 0.9796357154846191]","[[216, 313, 384, 388], [8, 352, 33, 397], [226, 352, 545, 527]]"
769,"['car', 'car', 'car']","[0.9391065239906311, 0.8646665811538696, 0.9728996753692627]","[[228, 313, 406, 394], [8, 361, 38, 397], [237, 350, 569, 533]]"
770,"['car', 'car', 'car']","[0.9579784274101257, 0.9168919324874878, 0.9787969589233398]","[[239, 311, 424, 394], [7, 363, 42, 397], [248, 351, 595, 540]]"
771,"['car', 'car', 'car']","[0.9361931085586548, 0.9233364462852478, 0.9774946570396423]","[[251, 310, 440, 396], [7, 365, 43, 398], [261, 348, 622, 549]]"
772,"['car', 'car', 'car']","[0.8078241348266602, 0.9125886559486389, 0.9469897747039795]","[[264, 310, 465, 398], [7, 363, 44, 398], [275, 320, 652, 556]]"
773,"['car', 'car']","[0.8992210030555725, 0.9516931176185608]","[[8, 361, 44, 398], [288, 313, 683, 563]]"
774,"['car', 'car']","[0.9126645922660828, 0.9798262119293213]","[[9, 367, 48, 399], [293, 310, 713, 570]]"
775,"['car', 'car', 'car']","[0.9000864624977112, 0.9628084897994995, 0.9805605411529541]","[[7, 337, 49, 399], [307, 308, 527, 400], [320, 349, 749, 581]]"
776,"['car', 'car', 'car']","[0.9007932543754578, 0.9704495072364807, 0.9813838005065918]","[[7, 333, 48, 402], [324, 307, 554, 401], [337, 351, 785, 591]]"
777,"['truck', 'car', 'car', 'car']","[0.8601555228233337, 0.9745464324951172, 0.8110322952270508, 0.982218861579895]","[[6, 286, 49, 402], [339, 304, 591, 410], [5, 286, 49, 402], [353, 364, 825, 603]]"
778,"['truck', 'car', 'car', 'car']","[0.8824528455734253, 0.8168694972991943, 0.9594680666923523, 0.9806003570556641]","[[6, 285, 51, 402], [6, 285, 51, 402], [358, 303, 619, 413], [373, 362, 864, 612]]"
779,"['truck', 'car', 'car', 'car']","[0.8601601123809814, 0.8136467933654785, 0.9662263989448547, 0.982597291469574]","[[5, 285, 56, 403], [5, 285, 55, 403], [377, 300, 650, 416], [395, 360, 907, 625]]"
780,"['truck', 'car', 'car', 'car']","[0.890428364276886, 0.8065020442008972, 0.9722759127616882, 0.9829031825065613]","[[4, 285, 58, 404], [5, 286, 58, 404], [398, 306, 688, 415], [417, 366, 951, 639]]"
781,"['truck', 'car', 'car', 'car']","[0.8535947799682617, 0.846289336681366, 0.9699951410293579, 0.9821431040763855]","[[0, 285, 60, 405], [3, 286, 60, 405], [421, 306, 721, 420], [440, 365, 997, 651]]"
782,"['truck', 'car', 'car']","[0.9190700054168701, 0.9760233759880066, 0.9825684428215027]","[[0, 284, 61, 408], [446, 305, 764, 421], [466, 377, 1046, 663]]"
783,"['truck', 'car', 'car']","[0.9124921560287476, 0.9730759263038635, 0.9814193248748779]","[[2, 282, 66, 408], [471, 305, 801, 426], [494, 381, 1095, 678]]"
784,"['truck', 'car', 'car', 'car']","[0.897767186164856, 0.7800639271736145, 0.9720252156257629, 0.9819765090942383]","[[0, 281, 67, 411], [0, 282, 66, 410], [498, 305, 845, 429], [525, 384, 1145, 692]]"
785,"['car', 'truck', 'car']","[0.9755114912986755, 0.9255983829498291, 0.9823165535926819]","[[527, 309, 894, 436], [0, 281, 69, 413], [557, 391, 1199, 708]]"
786,"['truck', 'car', 'car']","[0.9403088688850403, 0.9739325046539307, 0.9819441437721252]","[[0, 279, 71, 413], [558, 310, 944, 437], [590, 395, 1249, 723]]"
787,"['car', 'truck', 'car']","[0.9763921499252319, 0.944082498550415, 0.982630729675293]","[[589, 309, 992, 443], [0, 278, 71, 412], [627, 399, 1302, 741]]"
788,"['truck', 'car', 'car']","[0.9435137510299683, 0.9760554432868958, 0.9836981892585754]","[[0, 279, 74, 412], [624, 310, 1045, 449], [665, 403, 1352, 758]]"
789,"['car', 'truck', 'car']","[0.9711397886276245, 0.9391027688980103, 0.9827879667282104]","[[665, 312, 1102, 454], [0, 278, 77, 410], [708, 409, 1405, 769]]"
790,"['truck', 'car', 'car']","[0.9209464192390442, 0.9700549840927124, 0.984082818031311]","[[3, 278, 79, 410], [709, 316, 1159, 459], [752, 414, 1428, 785]]"
791,"['truck', 'car', 'car']","[0.9492165446281433, 0.9644740223884583, 0.9829297065734863]","[[0, 275, 83, 413], [752, 318, 1215, 468], [800, 420, 1429, 795]]"
792,"['car', 'truck', 'car']","[0.9654486179351807, 0.9533880949020386, 0.9824821352958679]","[[794, 322, 1278, 479], [5, 276, 85, 411], [848, 427, 1432, 804]]"
793,"['car', 'truck', 'car']","[0.9569424986839294, 0.9485244750976562, 0.9832481741905212]","[[843, 327, 1334, 488], [5, 275, 88, 411], [901, 434, 1427, 777]]"
794,"['car', 'truck', 'car']","[0.9521653056144714, 0.9637958407402039, 0.9809455275535583]","[[896, 333, 1385, 496], [0, 274, 93, 412], [954, 441, 1430, 784]]"
795,"['truck', 'car', 'car']","[0.9717288613319397, 0.9697907567024231, 0.9798775911331177]","[[6, 271, 96, 414], [952, 336, 1360, 506], [1010, 450, 1436, 784]]"
796,"['truck', 'car', 'car']","[0.9620908498764038, 0.9745856523513794, 0.9807573556900024]","[[6, 270, 97, 414], [1010, 344, 1424, 517], [1068, 465, 1435, 784]]"
797,"['truck', 'car', 'car']","[0.9656137228012085, 0.9719302654266357, 0.9779804944992065]","[[7, 269, 100, 413], [1068, 355, 1427, 526], [1126, 476, 1435, 784]]"
798,"['truck', 'car', 'car']","[0.9660108089447021, 0.9722380638122559, 0.9758673906326294]","[[8, 270, 102, 414], [1131, 363, 1429, 538], [1185, 486, 1436, 783]]"
799,"['truck', 'car', 'car']","[0.9747538566589355, 0.9775978922843933, 0.9737563133239746]","[[8, 266, 105, 415], [1190, 372, 1430, 554], [1246, 506, 1434, 796]]"
800,"['truck', 'car', 'car']","[0.9705837965011597, 0.973408579826355, 0.9708792567253113]","[[7, 265, 108, 421], [1254, 391, 1431, 564], [1304, 535, 1432, 806]]"
